name,sector,description,hardcap,team_doxxed,mvp_status,mvp_category
TicketMarket,Marketplace,Платформа для продажи NFT-билетов на мероприятия. Борьба с мошенничеством и перепродажей. Интеграция с ивент-агентствами.,60000,True,Рабочий прототип,working_prototype
BlogChain,Social,Децентрализованная блог-платформа с монетизацией через подписки. Контент невозможно цензурировать. Система рекомендаций на блокчейне.,40000,False,Нет,no_mvp
StableSwap,DeFi,AMM для стабильных монет с минимальным проскальзыванием. Алгоритмические пулы ликвидности. Интеграция с крупными стейблкоинами.,75000,True,Рабочий прототип,working_prototype
IdentitySolution,Infrastructure,Децентрализованная система цифровой идентификации. Самосуверенные идентификаторы. Интеграция с государственными услугами.,85000,True,Рабочий прототип,working_prototype
CryptoCollectibles,Marketplace,Специализированный маркетплейс для редких криптоколлекций. Система оценки редкости и подлинности. Аукционная система для уникальных лотов.,50000,True,Рабочий прототип,working_prototype
NewsPlatform,Social,Децентрализованная новостная платформа без цензуры. Система верификации источников. Монетизация через микроплатежи.,40000,False,Нет,no_mvp
GovernanceProtocol,Infrastructure,Протокол для децентрализованного управления DAO. Голосование с делегированием. Механизмы противодействия захвату власти.,60000,True,Testnet,testnet
DerivativesDEX,DeFi,Децентрализованная биржа деривативов с плечом до 50x. Фьючерсы и опционы на основные криптоактивы. Передовая система управления рисками.,160000,True,Testnet,testnet
DecentralSocial,Social,"Социальная сеть с алгоритмами без цензуры. Монетизация контента через стейкинг. Система репутации на блокчейне. Приложение уже имеет 10,000 бета-тестеров.",55000,False,Testnet,testnet
GameAssetsMarket,Marketplace,Маркетплейс для внутриигровых предметов из популярных игр. Автоматическая оценка редкости. Кроссплатформенная поддержка.,70000,True,Рабочий прототип,working_prototype
LendingProtocol,DeFi,Децентрализованный кредитный протокол с плавающими ставками. Механизм оверколлатеризации 150%. Страхование пулов ликвидности.,100000,True,Рабочий прототип,working_prototype
DexFin,DeFi,"Высокомасштабируемая децентрализованная биржа с продвинутыми торговыми инструментами. Используем Layer-2 решение для минимальных комиссий и высокой скорости. Уникальные функции: копи-трейдинг и ферминг ликвидности. Команда доксед, имеет опыт в трейдинге и блокчейн-разработке.",120000,True,Testnet,testnet
BattleArena,Gaming,PvP арена с NFT-персонажами и турнирами на крупные призы. Механика стейкинга для участия в управлении. Кроссплатформенная поддержка.,60000,False,Нет,no_mvp
