name,sector,description,hardcap,team_doxxed,mvp_status,mvp_category,keywords,current_status_2024,notes
TicketMarket,Marketplace,Платформа для продажи NFT-билетов на мероприятия. Борьба с мошенничеством и перепродажей. Интеграция с ивент-агентствами.,60000,True,Рабочий прототип,working_prototype,['NFT'],Успех,Протокол активно используется. Команда продолжает разработку.
BlogChain,Social,Децентрализованная блог-платформа с монетизацией через подписки. Контент невозможно цензурировать. Система рекомендаций на блокчейне.,40000,False,Нет,no_mvp,"['децентрализован', 'блокчейн']",Провал,"Сайт и соцсети неактивны с 2018 года. Сбор составил менее 20% от 40,000 ETH."
StableSwap,DeFi,AMM для стабильных монет с минимальным проскальзыванием. Алгоритмические пулы ликвидности. Интеграция с крупными стейблкоинами.,75000,True,Рабочий прототип,working_prototype,[],Успех,Протокол активно используется. Команда продолжает разработку.
IdentitySolution,Infrastructure,Децентрализованная система цифровой идентификации. Самосуверенные идентификаторы. Интеграция с государственными услугами.,85000,True,Рабочий прототип,working_prototype,['децентрализован'],Успех,Токен торгуется на биржах 2-го тира. TVL превышает $10M.
CryptoCollectibles,Marketplace,Специализированный маркетплейс для редких криптоколлекций. Система оценки редкости и подлинности. Аукционная система для уникальных лотов.,50000,True,Рабочий прототип,working_prototype,['крипто'],Успех,Протокол активно используется. Команда продолжает разработку.
NewsPlatform,Social,Децентрализованная новостная платформа без цензуры. Система верификации источников. Монетизация через микроплатежи.,40000,False,Нет,no_mvp,['децентрализован'],Провал,Токен не был выпущен. Команда удалила все онлайн-профили.
GovernanceProtocol,Infrastructure,Протокол для децентрализованного управления DAO. Голосование с делегированием. Механизмы противодействия захвату власти.,60000,True,Testnet,testnet,"['децентрализован', 'DAO']",Полуактивен,"Токен есть на DEX, но объемы near zero. Последний коммит 2+ года назад."
DerivativesDEX,DeFi,Децентрализованная биржа деривативов с плечом до 50x. Фьючерсы и опционы на основные криптоактивы. Передовая система управления рисками.,160000,True,Testnet,testnet,"['децентрализован', 'крипто']",Полуактивен,"Токен есть на DEX, но объемы near zero. Последний коммит 2+ года назад."
DecentralSocial,Social,"Социальная сеть с алгоритмами без цензуры. Монетизация контента через стейкинг. Система репутации на блокчейне. Приложение уже имеет 10,000 бета-тестеров.",55000,False,Testnet,testnet,"['блокчейн', 'стейкинг']",Полуактивен,Основной продукт не запущен. Команда переключилась на консалтинг.
GameAssetsMarket,Marketplace,Маркетплейс для внутриигровых предметов из популярных игр. Автоматическая оценка редкости. Кроссплатформенная поддержка.,70000,True,Рабочий прототип,working_prototype,[],Успех,Протокол активно используется. Команда продолжает разработку.
LendingProtocol,DeFi,Децентрализованный кредитный протокол с плавающими ставками. Механизм оверколлатеризации 150%. Страхование пулов ликвидности.,100000,True,Рабочий прототип,working_prototype,['децентрализован'],Успех,Проект получил дополнительное финансирование от венчурных фондов.
DexFin,DeFi,"Высокомасштабируемая децентрализованная биржа с продвинутыми торговыми инструментами. Используем Layer-2 решение для минимальных комиссий и высокой скорости. Уникальные функции: копи-трейдинг и ферминг ликвидности. Команда доксед, имеет опыт в трейдинге и блокчейн-разработке.",120000,True,Testnet,testnet,"['децентрализован', 'блокчейн', 'масштабируем', 'ферминг', 'Layer-2']",Полуактивен,"Токен есть на DEX, но объемы near zero. Последний коммит 2+ года назад."
